10423 , 7154
14730 , 2025
12519 , 58
12156 , 137
15016 , 5451
14698 , 382
11122 , 31
11995 , 968
12323 , 500
11905 , 62
10581 , 257
16869 , 150
12197 , 1089
13851 , 1778
11982 , 124
14877 , 62
11283 , 53
11278 , 11970
14520 , 62
15356 , 223
11057 , 17400
14955 , 31
15607 , 62
11259 , 6272
11537 , 89
10434 , 117
11423 , 1330
11697 , 9235
15380 , 226
14831 , 3943
11413 , 279
11193 , 3558
14952 , 14
11003 , 646
13061 , 130
12119 , 18
15295 , 59
14489 , 521
11884 , 1417
13377 , 155
10754 , 31
10469 , 88
11203 , 62
14222 , 8
14492 , 4830
12898 , 31
11525 , 31
11233 , 57
13830 , 2300
10926 , 62
11298 , 25567
11630 , 305
13211 , 53
12343 , 54
12888 , 53
11612 , 159
11267 , 656
11042 , 3415
14314 , 177
15323 , 168
14057 , 4671
10577 , 31
14004 , 142
15841 , 62
12339 , 4253
10165 , 9
14576 , 935
10620 , 276
10631 , 62
10466 , 611
13367 , 364
12899 , 54
10874 , 270
12951 , 333
15304 , 8040
12012 , 98
10431 , 862
10728 , 62
14109 , 53
14771 , 10894
14716 , 49
10994 , 2053
12954 , 1502
11076 , 62
14635 , 4526
10732 , 245
11986 , 1685
10721 , 11324
12945 , 779
12523 , 341
13933 , 150
13184 , 172
14082 , 765
11109 , 972
10617 , 58
11308 , 62
10408 , 530
15389 , 62
11867 , 62
10141 , 62
10693 , 8287
12173 , 5264
11315 , 57
15624 , 810
12016 , 62
15412 , 1184
11540 , 1322
10529 , 1757
12982 , 1340
14709 , 47
11778 , 93
11603 , 631
13964 , 18
10155 , 93
11977 , 392
14696 , 541
14960 , 62
14747 , 12627
12278 , 768
12819 , 186
14908 , 3790
11503 , 647
12448 , 556
12511 , 54
14869 , 9721
11865 , 62
10868 , 523
13502 , 389
14112 , 782
10275 , 62
13290 , 62
11725 , 53
12758 , 1382
13277 , 207
14893 , 4248
12402 , 574
11587 , 53
10146 , 62
11996 , 1270
12397 , 62
12003 , 230
14783 , 629
14843 , 3031
11973 , 282
11775 , 605
13433 , 190
11624 , 856
10397 , 28459
13029 , 43
13342 , 2604
12896 , 543
13970 , 31
13422 , 212
14534 , 40
14027 , 3141
14842 , 93
11252 , 258
13264 , 360
11641 , 93
14905 , 9
10561 , 187
13303 , 10533
13795 , 93
12917 , 84
12992 , 981
13241 , 53
11027 , 18
12335 , 62
10140 , 1893
15249 , 530
13485 , 953
14574 , 224
11823 , 365
15048 , 62
15919 , 1040
14252 , 392
15370 , 1304
12891 , 93
15041 , 232
14674 , 124
14543 , 40
12129 , 54
11637 , 556
14193 , 1137
12124 , 94
10685 , 142
11898 , 118
13256 , 291
14524 , 1451
12217 , 773
14512 , 89
11140 , 336
15096 , 1190
12892 , 15916
11013 , 62
14259 , 29
15023 , 280
14828 , 93
10731 , 62
15569 , 53
11721 , 249
10299 , 1302
14237 , 62
10551 , 62
10170 , 60
13296 , 414
10747 , 189
14633 , 155
15070 , 36
13230 , 394
14254 , 113
13198 , 4165
14761 , 917
10558 , 54
12544 , 63
13232 , 6684
14150 , 54
15008 , 27
13495 , 4501
10666 , 255
14100 , 7470
11066 , 3461
12391 , 468
14107 , 17375
12094 , 440
14812 , 62
10781 , 373
14108 , 318
12280 , 215
10333 , 54
12266 , 9557
11648 , 246
10792 , 1838
11337 , 150
11481 , 709
12007 , 62
14689 , 557
11980 , 80
14986 , 1916
14487 , 109
10157 , 148
15991 , 62
10158 , 327
11292 , 24976
10713 , 1723
11150 , 88
11146 , 274
13891 , 2022
12953 , 13366
11049 , 93
12478 , 10153
10676 , 94
14683 , 3425
11921 , 298
15401 , 62
15411 , 93
10980 , 574
10136 , 147
10849 , 878
10800 , 2254
11695 , 134
12884 , 114
12559 , 62
11638 , 955
10279 , 427
10785 , 479
12915 , 89
11288 , 84
13127 , 92
10918 , 53
13930 , 22288
15024 , 615
10821 , 8076
13487 , 10253
14570 , 1692
11618 , 10697
14122 , 3614
10372 , 1041
13873 , 32
14794 , 224
14457 , 325
13204 , 15650
10779 , 58
13577 , 1068
12264 , 4277
12206 , 353
12451 , 2638
11433 , 10760
13158 , 720
13486 , 247
15074 , 62
16218 , 134
11447 , 58
10257 , 1031
12191 , 4935
10208 , 252
14711 , 63
14679 , 7577
13476 , 300
11953 , 212
14685 , 1580
12889 , 16062
12441 , 535
14307 , 1086
13360 , 252
12255 , 62
14814 , 327
14025 , 42
14588 , 62
14113 , 62
12223 , 18
12265 , 54
10185 , 155
14262 , 1725
10990 , 253
10599 , 1372
15027 , 153
14321 , 601
13796 , 3514
13931 , 1616
11111 , 147
13244 , 1820
10627 , 292
10739 , 53
13871 , 2004
12902 , 53
14256 , 62
10135 , 392
11067 , 124
15376 , 1727
13459 , 62
